text,label
"Hey, are we still meeting for dinner tonight?",ham
Congratulations! You've won a $1000 Walmart gift card. Click here to claim now.,spam
Don't forget to bring the documents tomorrow.,ham
URGENT! Your account has been compromised. Verify immediately.,spam
Can you call me when you get this message?,ham
Limited time offer! Buy 1 get 1 free on all items.,spam
See you at the game later!,ham
You have been selected for a free vacation to Bahamas! Reply YES to claim.,spam
Let's study together this weekend.,ham
Win cash prizes now!!! Text WIN to 12345.,spam
Are you coming to the party?,ham
Lowest price guaranteed!!! Exclusive deal just for you.,spam
I'll send you the report by tonight.,ham
Act now! This offer expires in 24 hours.,spam
Can we reschedule our meeting?,ham
Earn money from home easily. No experience required.,spam
Happy birthday! Hope you have a great day!,ham
Get cheap meds without prescription. Order now!,spam
Let's grab coffee tomorrow morning.,ham
You won a lottery! Send your bank details to receive funds.,spam
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
